Questions,Answers,b,c,v,id,Text
What was the name of Jesus' mother?,Mary,40,1,18,40001018,"Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child from the Holy Spirit."
What was the name of the garden where Adam and Eve lived?,Garden of Eden,1,2,8,1002008,"And the LORD God planted a garden in Eden, in the east, and there he put the man whom he had formed."
How does the Bible describe the location of the Garden of Eden?,In the east,1,2,8,1002008,"And the LORD God planted a garden in Eden, in the east, and there he put the man whom he had formed."
With what food did Jesus feed 5000 people?,Loaves of bread and fishes,40,14,19,40014019,"Then he ordered the crowds to sit down on the grass, and taking the five loaves and the two fish, he looked up to heaven and said a blessing. Then he broke the loaves and gave them to the disciples, and the disciples gave them to the crowds."
What method did the Romans use to kill Jesus?,Crucifixion,41,15,25,41015025,And it was the third hour when they crucified him.
From which part of Adam's body did God create Eve?,Rib,1,2,21,1002021,"So the LORD God caused a deep sleep to fall upon the man, and while he slept took one of his ribs and closed up its place with flesh."
Which creature tricked Eve into eating of the forbidden fruit?,Serpent,1,3,1,1003001,"Now the serpent was more crafty than any other beast of the field that the LORD God had made.He said to the woman, ""Did God actually say, 'You shall not eat of any tree in the garden'?"""
At Christ's crucifixion what did the soldiers place on his head?,Crown of Thorns,40,27,29,40027029,"and twisting together a crown of thorns, they put it on his head and put a reed in his right hand. And kneeling before him, they mocked him, saying, ""Hail, King of the Jews!"""
What relationship was Ruth to Naomi?,Daughter-in-law,8,1,4,8001004,"These took Moabite wives; the name of the one was Orpah and the name of the other Ruth. They lived there about ten years,"
Which Israelite woman had two Moabite daughters-in-law?,Naomi,8,1,4,8001004,"These took Moabite wives; the name of the one was Orpah and the name of the other Ruth. They lived there about ten years,"
Who lied to God when he was asked where his brother was?,Cain,1,4,9,1004009,"Then the LORD said to Cain, ""Where is Abel your brother?"" He said, ""I do not know; am I my brother's keeper?"""
Who showed his faith by being willing to offer his son on an altar to God?,Abraham,59,2,21,59002021,Was not Abraham our father justified by works when he offered up his son Isaac on the altar?
What was inscribed above Jesus' cross?,This is Jesus King of the Jews,40,27,27,40027027,"Then the soldiers of the governor took Jesus into the governor's headquarters, and they gathered the whole battalion before him."
Whose mother placed him in an ark of bulrushes?,Moses,2,2,3,2002003,"When she could hide him no longer, she took for him a basket made of bulrushes and daubed it with bitumen and pitch. She put the child in it and placed it among the reeds by the river bank."
For how many days and nights did it rain in the story of the flood?,Forty,1,7,12,1007012,And rain fell upon the earth forty days and forty nights.
What was special about Jesus' mother?,She was a virgin,40,1,23,40001023,"""Behold, the virgin shall conceive and bear a son, and they shall call his name Immanuel""(which means, God with us)."
What does the name Emmanuel mean? ,God with us,40,1,23,40001023,"""Behold, the virgin shall conceive and bear a son, and they shall call his name Immanuel""(which means, God with us)."
Who gave gifts to Jesus when he was a young child?,Wise men,40,2,11,40002011,"And going into the house they saw the child with Mary his mother, and they fell down and worshiped him. Then, opening their treasures, they offered him gifts, gold and frankincense and myrrh."
What happened to Jonah after he was thrown overboard?,He was swallowed by a great fish,32,1,17,32001017,And the LORD appointed a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights.
How long was Jonah stuck inside the great fish for?,Three days,32,1,17,32001017,And the LORD appointed a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights.
In whose image was man created?,God's,1,1,27,1001027,"So God created man in his own image, in the image of God he created him; male and female he created them."
How many apostles did Jesus choose?,Twelve,42,6,13,42006013,"And when day came, he called his disciples and chose from them twelve, whom he named apostles:"
What are the wages of sin?,Death,45,6,23,45006023,"For the wages of sin is death, but the free gift of God is eternal life in Christ Jesus our Lord."
Who else other than the wise men came to visit Jesus when he was a small child?,Shepherds,42,2,15,42002015,"When the angels went away from them into heaven, the shepherds said to one another, ""Let us go over to Bethlehem and see this thing that has happened, which the Lord has made known to us."""
After the angels had announced the birth of Christ and left the shepherds what did the shepherds do?,Went quickly to Bethlehem,42,2,15,42002015,"When the angels went away from them into heaven, the shepherds said to one another, ""Let us go over to Bethlehem and see this thing that has happened, which the Lord has made known to us."""
Who lied when he was asked to reveal the source of his great strength?,Samson,7,16,15,7016015,"And she said to him, ""How can you say, 'I love you,' when your heart is not with me? You have mocked me these three times, and you have not told me where your great strength lies."""
How many times did Samson lie about his source of strength to Delilah?,Three,7,16,15,7016015,"And she said to him, ""How can you say, 'I love you,' when your heart is not with me? You have mocked me these three times, and you have not told me where your great strength lies."""
What was the name of the man Jesus' mother was engaged to at the time she became pregnant?,Joseph,40,1,19,40001019,"And her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly."
What did Joseph want to do when he discovered Mary was pregnant?,(Quietly) divorce her,40,1,19,40001019,"And her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly."
From what disaster did the Ark save Noah?,Flood,1,7,7,1007007,And Noah and his sons and his wife and his sons' wives with him went into the ark to escape the waters of the flood.
What happened to Jesus forty days after his resurrection?,He ascended into heaven,44,1,9,44001009,"And when he had said these things, as they were looking on, he was lifted up, and a cloud took him out of their sight."
What animals did Jesus cause to run into the sea and drown?,Pigs,40,8,32,40008032,"And he said to them, ""Go."" So they came out and went into the pigs, and behold, the whole herd rushed down the steep bank into the sea and drowned in the waters."
On what were the Ten Commandments written?,Two tables of stone,5,5,22,5005022,"""These words the LORD spoke to all your assembly at the mountain out of the midst of the fire, the cloud, and the thick darkness, with a loud voice; and he added no more. And he wrote them on two tablets of stone and gave them to me."
What did Jesus sleep in after he was born?,Manger,42,2,7,42002007,"And she gave birth to her firstborn son and wrapped him in swaddling cloths and laid him in a manger, because there was no place for them in the inn."
What was Jesus wrapped in when he was born?,Swaddling clothes,42,2,7,42002007,"And she gave birth to her firstborn son and wrapped him in swaddling cloths and laid him in a manger, because there was no place for them in the inn."
What was man created from?,Dust of the ground,1,2,7,1002007,"then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature."
What did God breathe into Adam's nostrils? ,The breath of life,1,2,7,1002007,"then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature."
What did Jesus do to each of the disciples during the Last Supper?,Washed their feet,43,13,5,43013005,Then he poured water into a basin and began to wash the disciples' feet and to wipe them with the towel that was wrapped around him.
To which city did God ask Jonah to take his message?,Nineveh,32,1,2,32001002,"""Arise, go to Nineveh, that great city, and call out against it, for their evil has come up before me."""
Who was David's father?,Jesse,8,4,22,8004022,"Obed fathered Jesse, and Jesse fathered David."
What was the name of Ruth's great-grandson?,David,8,4,22,8004022,"Obed fathered Jesse, and Jesse fathered David."
What is the only sin that cannot be forgiven?,Blasphemy against the Holy Spirit,41,3,29,41003029,"but whoever blasphemes against the Holy Spirit never has forgiveness, but is guilty of an eternal sin""--"
How did David defeat Goliath?,He hit him with a stone from his sling,9,17,49,9017049,"And David put his hand in his bag and took out a stone and slung it and struck the Philistine on his forehead. The stone sank into his forehead, and he fell on his face to the ground."
What did Joseph's brothers do to get rid of him?,Threw him in a pit and then sold him to strangers,1,37,28,1037028,"Then Midianite traders passed by. And they drew Joseph up and lifted him out of the pit, and sold him to the Ishmaelites for twenty shekels of silver. They took Joseph to Egypt."
Who did Joseph's brothers sell him to?,Ishmaelites,1,37,28,1037028,"Then Midianite traders passed by. And they drew Joseph up and lifted him out of the pit, and sold him to the Ishmaelites for twenty shekels of silver. They took Joseph to Egypt."
Who wrote the letter to Philemon?,Paul,57,1,1,57001001,"Paul, a prisoner for Christ Jesus, and Timothy our brother,To Philemon our beloved fellow worker"
Who was Paul with when he wrote the letter to Philemon?,Timothy,57,1,1,57001001,"Paul, a prisoner for Christ Jesus, and Timothy our brother,To Philemon our beloved fellow worker"
In what was Jesus wrapped before he was buried?,Linen clothes,43,19,40,43019040,"So they took the body of Jesus and bound it in linen cloths with the spices, as is the burial custom of the Jews."
What was the name of Moses' brother?,Aaron,2,7,1,2007001,"And the LORD said to Moses, ""See, I have made you like God to Pharaoh, and your brother Aaron shall be your prophet."
What sin is Cain remembered for?,Murder,1,4,8,1004008,"Cain spoke to Abel his brother. And when they were in the field, Cain rose up against his brother Abel and killed him."
What was David's occupation before he became king?,Shepherd,9,17,15,9017015,but David went back and forth from Saul to feed his father's sheep at Bethlehem.
Who hid the two spies sent by Joshua?,Rahab,6,2,1,6002001,"And Joshua the son of Nun sent two men secretly from Shittim as spies, saying, ""Go, view the land, especially Jericho."" And they went and came into the house of a prostitute whose name was Rahab and lodged there."
What was the name of the woman who hid the spies at Jericho?,Rahab,6,2,1,6002001,"And Joshua the son of Nun sent two men secretly from Shittim as spies, saying, ""Go, view the land, especially Jericho."" And they went and came into the house of a prostitute whose name was Rahab and lodged there."
Whose prayer resulted in his being thrown into a den of lions?,Daniel,27,6,7,27006007,"All the presidents of the kingdom, the prefects and the satraps, the counselors and the governors are agreed that the king should establish an ordinance and enforce an injunction, that whoever makes petition to any god or man for thirty days, except to you, O king, shall be cast into the den of lions."
What was the apparent source of Samson's strength?,Long hair,7,16,17,7016017,"And he told her all his heart, and said to her, ""A razor has never come upon my head, for I have been a Nazirite to God from my mother's womb. If my head is shaved, then my strength will leave me, and I shall become weak and be like any other man."""
From which country did Moses help the Israelites escape from their lives of slavery?,Egypt,2,13,3,2013003,"Then Moses said to the people, ""Remember this day in which you came out from Egypt, out of the house of slavery, for by a strong hand the LORD brought you out from this place. No leavened bread shall be eaten."
Who was the fourth person in the fiery furnace along with Daniel's friends?,An angel,27,3,28,27003028,"Nebuchadnezzar answered and said, ""Blessed be the God of Shadrach, Meshach, and Abednego, who has sent his angel and delivered his servants, who trusted in him, and set aside the king's command, and yielded up their bodies rather than serve and worship any god except their own God."
What did Joseph's brothers do to deceive their father to cover up that they had sold Joseph into slavery?,Dipped his coat in the blood of a goat ,1,37,31,1037031,Then they took Joseph's robe and slaughtered a goat and dipped the robe in the blood.
What kind of leaves did Adam and Eve sew together to make clothes for themselves?,Fig,1,3,7,1003007,"Then the eyes of both were opened, and they knew that they were naked. And they sewed fig leaves together and made themselves loincloths."
"Who did Jesus say was the ""father of lies""?",The devil,43,8,44,43008044,"You are of your father the devil, and your will is to do your father's desires. He was a murderer from the beginning, and has nothing to do with the truth, because there is no truth in him. When he lies, he speaks out of his own character, for he is a liar and the father of lies."
What was the name of the tower that the people were building when God confused their language?,Tower of Babel,1,11,9,1011009,"Therefore its name was called Babel, because there the LORD confused the language of all the earth. And from there the LORD dispersed them over the face of all the earth."
"Whose name means ""father of a great multitude""?",Abraham,1,17,5,1017005,"No longer shall your name be called Abram, but your name shall be Abraham, for I have made you the father of a multitude of nations."
What does the name Abraham mean?,Father of a multitude,1,17,5,1017005,"No longer shall your name be called Abram, but your name shall be Abraham, for I have made you the father of a multitude of nations."
What does the name Abram mean?,High father / Father of heights,1,17,5,1017005,"No longer shall your name be called Abram, but your name shall be Abraham, for I have made you the father of a multitude of nations."
Which sea did the Israelites cross through to escape the Egyptians?,Red Sea,2,13,18,2013018,But God led the people around by the way of the wilderness toward the Red Sea. And the people of Israel went up out of the land of Egypt equipped for battle.
"What is ""more dif cult than a camel going through the eye of a needle""?",A rich man entering the Kingdom of God,40,19,24,40019024,"Again I tell you, it is easier for a camel to go through the eye of a needle than for a rich person to enter the kingdom of God."""
For how many years did the Israelites wander in the wilderness?,Forty,6,5,6,6005006,"For the people of Israel walked forty years in the wilderness, until all the nation, the men of war who came out of Egypt, perished, because they did not obey the voice of the LORD; the LORD swore to them that he would not let them see the land that the LORD had sworn to their fathers to give to us, a land flowing with milk and honey."
"What does a ""good tree"" bring forth?",Good fruit,40,7,17,40007017,"So, every healthy tree bears good fruit, but the diseased tree bears bad fruit."
"Which small body part can ""boast of great things""?",Tongue,59,3,5,59003005,"So also the tongue is a small member, yet it boasts of great things.How great a forest is set ablaze by such a small fire!"
What was the name of Abraham's first wife?,Sarah,1,17,15,1017015,"And God said to Abraham, ""As for Sarai your wife, you shall not call her name Sarai, but Sarah shall be her name."
What did God do on the seventh day after he had finished creating everything?,Rested,1,2,2,1002002,"And on the seventh day God finished his work that he had done, and he rested on the seventh day from all his work that he had done."
